place_name,description,formatted_address,rating,user_ratings_total,types,geometry_lat,geometry_lng,google_map_url
限界集落 天空の館 げんかいしゅうらく てんくうのやかた,"限界集落 天空の館 ✨  
木造建築の趣あるカフェで、ジャズが流れる静かな空間。空気が澄んだ山の上で、絶品のパスタやピザを味わえます。スタッフの親切さも魅力。バイク好きにはたまらない展示も！車でアクセス可能なので気軽に訪れてみては？  

こんな人におすすめ：  
・落ち着いた雰囲気でのんびり過ごしたい  
・美味しい料理と自然を満喫したい  
・バイクが好きな方  

魅力ポイント✨  
・木造の温かみある建物  
・本格的で美味しい料理  
・綺麗な空気と心地よい風",日本、〒438-0101 静岡県磐田市万瀬４９３−２,4.5,11.0,"cafe, store, food, point_of_interest, establishment",34.876263,137.877551,https://www.google.com/maps/place/?q=place_id:ChIJ-1JAU3odG2ARYOkhVw3xozg
cafe 梵 san,"魅力ポイント✨  
・玄米むすびセットでヘルシー＆満足感たっぷり  
・手作りスイーツ「男前プリン」は絶妙な食感で人気  
・住宅街にひっそり佇む隠れ家カフェ  

こんな人におすすめ：  
・ヘルシーな食事を楽しみたい  
・こぢんまりした落ち着いた空間が好き  
・親しみやすい店主との会話でほっこりしたい  

静岡県磐田市の「cafe 梵 san」は、アンティークな雰囲気漂う隠れ家的カフェ。地元産玄米を使ったむすびセットや、絶品の「男前プリン」が人気です。フレンドリーな店主との交流も魅力。心と体に優しいひとときを楽しめますよ！",日本、〒438-0811 静岡県磐田市一言３００３−３,5.0,3.0,"cafe, food, point_of_interest, establishment",34.727033,137.8410665,https://www.google.com/maps/place/?q=place_id:ChIJ-wwuHkbnGmARU3XosjERMb0
とみた,"磐田市で絶品和食を楽しむなら「とみた」へ！✨  
元魚屋さんが営むこのお店では、新鮮な魚を使った日替わりランチや定食が大人気。ふっくら焼き上げた魚や豪快な刺身が、驚きのコスパで堪能できます。熱々のお味噌汁や季節の野菜も嬉しいポイント！オープン前から行列ができるほどの人気店なので、早めの訪問がおすすめです。磐田観光の合間に、美味しい和食でほっと一息ついてみてはいかがでしょう？  

こんな人におすすめ：  
・お魚好き ・美味しいランチを探している ・地元の名物を味わいたい",日本、〒438-0086 静岡県磐田市見付１８５９−５,4.2,422.0,"restaurant, point_of_interest, food, establishment",34.7347244,137.858625,https://www.google.com/maps/place/?q=place_id:ChIJ01bYHj7kGmARZwtqgsHclNY
えんむすび,"魅力ポイント✨  
・古民家を活かした温かみのある隠れ家カフェ  
・人気の「えんむすびプレート」は体に優しいおにぎりと豚汁が絶品  
・和テイストのデザートやコーヒーでゆったりリラックス  

こんな人におすすめ：  
・磐田の福王寺観光と合わせて楽しみたい  
・落ち着いた雰囲気でゆっくり過ごしたい  
・SNS映えするレトロなカフェが好き  

留意点：  
・営業日や駐車場は事前にチェックがおすすめ  

「えんむすび」で、心もお腹も満たされるひとときをぜひどうぞ！",日本、〒438-0084 静岡県磐田市城之崎４丁目1−９,4.4,8.0,"cafe, food, point_of_interest, establishment",34.7200764,137.8624801,https://www.google.com/maps/place/?q=place_id:ChIJ03v_kCblGmARqKMNbaMcTKA
兎山公園河津桜並木,"魅力ポイント✨  
・河津桜のトンネルが作る絶景！早春に桜を楽しめるスポット  
・新幹線や電車が通る背景が意外とフォトジェニック  
・野球場隣で駐車場も広々なので安心  

こんな人におすすめ：  
・人混みが苦手で静かにお花見をしたい  
・春先に一足早く桜を満喫したい  
・SNS映えする写真を撮りたい  

留意点：  
・満開の時期をチェックして訪れるのがおすすめ",日本、〒438-0038 静岡県磐田市鎌田,4.4,12.0,"park, point_of_interest, establishment",34.7186481,137.8907952,https://www.google.com/maps/place/?q=place_id:ChIJ0eZCSavlGmAR_hbKLtzvBOI
磐田市竜洋海洋公園,"魅力ポイント✨  
・広大な敷地で楽しめる遊具や芝生広場  
・展望台からの絶景やウォーキングコース  
・キャンプ場や釣り場も完備、アクティビティが充実  

こんな人におすすめ：  
・家族でのんびりピクニックや遊びたい方  
・自然やアウトドアが好きな方  
・犬と一緒に散歩を楽しみたい方  

磐田市竜洋海洋公園は、家族連れやアウトドア好きにぴったりの大型公園。新設の遊具や芝生広場、展望台からの景色が楽しめます。キャンプや釣りもできるので、一日中アクティブに過ごせますよ！駐車場も広く便利です。",日本、〒438-0233 静岡県磐田市駒場６８６６−２７,4.1,648.0,"park, point_of_interest, establishment",34.6512939,137.8022671,https://www.google.com/maps/place/?q=place_id:ChIJ12_ve37oGmAREzSNtuV6RbM
法多山尊永寺,"### 法多山尊永寺 (静岡県磐田市) の魅力✨  
厄除け観音として知られる歴史あるお寺で、四季折々の自然とイベントが楽しめる観光スポットです。特に「厄除け団子」は名物で、ほどよい甘さと食べやすさが絶品！秋の紅葉や春の花々が彩る参道は写真映え抜群。期間限定の御朱印や御朱印帳も注目ポイントです。広大な境内で心落ち着くひとときを過ごしませんか？

### こんな人におすすめ：
・歴史や文化が好きな方  
・自然の美しさを楽しみたい方  
・限定アイテムや季節のイベントに興味がある方  

### 留意点：
・駐車場は混雑時もあり、イベント情報を事前に確認するのがおすすめ",日本、〒437-0032 静岡県袋井市豊沢２７７７,4.3,3125.0,"place_of_worship, point_of_interest, establishment",34.7377906,137.9772366,https://www.google.com/maps/place/?q=place_id:ChIJ1QZaN3L6GmARNPD4qhHmktk
Cake cafe' N's grounds,"魅力ポイント✨  
・癒しの空間：アンティークな器やオーナー手作りのグラスが魅力  
・心も体も喜ぶランチプレート：新鮮な野菜や独創的な組み合わせの料理  
・スイーツ好き必見！絶品の人参ケーキや生クリームが人気  

こんな人におすすめ：  
・おしゃれなカフェが好き  
・静かにゆっくり過ごしたい  
・隠れ家的なお店を探している  

留意点：  
・席数が少ないため、予約がおすすめ  
・日曜日はスイーツメニューのみ提供  

静岡県磐田市の隠れ家カフェ「Cake cafe' N's grounds」で、心温まる美味しい時間をぜひお楽しみください✨",日本、〒438-0126 静岡県磐田市下神増１１３２−１,4.2,38.0,"cafe, food, point_of_interest, establishment",34.8080352,137.8338647,https://www.google.com/maps/place/?q=place_id:ChIJ1SQRw_rhGmARyUs4ADrx7vg
Boulangerie Painfare,"魅力ポイント✨  
・もっちりしっとりとした生地が魅力！外カリ中フワなパンが勢揃い  
・子どもも大喜び♪小さいメロンパンや冷蔵クリームパンが人気  
・リーズナブルな価格で本格的な焼きたてパンが楽しめる  

こんな人におすすめ：  
・パン好きで新しいお店を探している  
・お子様連れや家族で楽しみたい  
・静かな住宅街でほっと一息つきたい  

磐田市の住宅街に佇む「Boulangerie Painfare」は、焼きたての香りと種類豊富なパンが魅力のパン屋さん。地元で愛される美味しいパンをぜひ一度お試しください！",日本、〒438-0026 静岡県磐田市西貝塚３６４２−４,4.3,51.0,"bakery, food, point_of_interest, store, establishment",34.7309239,137.8772207,https://www.google.com/maps/place/?q=place_id:ChIJ1c8WiCXlGmARsmqahrYs770
磯光,"【磯光の魅力をご紹介✨】  
目の前に広がる大きな生け簀で泳ぐ魚たちが圧巻！磯光は、新鮮な魚介を使った絶品料理が自慢の磐田市の人気スポットです。ランチではお刺身やフライが楽しめ、夜にはさらに豪華な定食メニューが充実。店内は落ち着いた雰囲気で、接客も丁寧と好評。駐車場も広く、観光客にも便利です！魚好きにはたまらない、磐田市ならではの海の恵みを堪能できるお店です。ぜひお腹を空かせて訪れてみてください！  

【こんな人におすすめ】  
・新鮮な魚介料理が好きな方  
・地元の味を楽しみたい方  
・家族や友人とゆっくり食事を楽しみたい方",日本、〒438-0056 静岡県磐田市小島９８５,4.1,191.0,"restaurant, food, point_of_interest, establishment",34.6778505,137.8382547,https://www.google.com/maps/place/?q=place_id:ChIJ2QXUhAbmGmARbDwmwNEVnNg
